(5, 11, -1, 1, 7):[51, 51, 13233]
(4, 11, -1, 1, 7):[51, 51, 2454]
(3, 11, -1, 1, 7):[51, 51, 710]
(3, 11, -1, -1, 7):[51, 51, 2330]
(2, 11, -1, -1, 7):[51, 198, 169]
(1, 10, -1, -1, 7):[51, 51, 1363]
(0, 10, -1, -1, 7):[51, 51, 584]
(0, 9, 1, -1, 7):[51, 51, 703]
(1, 9, 1, -1, 7):[51, 51, 1036]
(2, 8, 1, -1, 7):[51, 51, 635]
(3, 8, 1, -1, 7):[51, 51, 315]
(4, 7, 1, -1, 7):[51, 53, 504]
(5, 7, 1, -1, 7):[51, 51, 2756]
(6, 6, 1, -1, 7):[52, 53, 830]
(7, 6, 1, -1, 7):[60, 122, 1528]
(8, 5, 1, -1, 7):[106, 89, 381]
(9, 5, 1, -1, 7):[97, 255, 435]
(10, 4, 1, -1, 7):[78, 108, 218]
(11, 4, 1, -1, 7):[99, 111, 552]
(6, 11, -1, 1, 7):[51, 17866, 51]
(4, 11, -1, -1, 7):[51, 51, 11858]
(2, 10, -1, -1, 7):[51, 51, 2844]
(0, 9, -1, -1, 7):[51, 51, 1484]
(1, 8, 1, -1, 7):[51, 51, 836]
(2, 7, 1, -1, 7):[51, 51, 406]
(3, 7, 1, -1, 7):[51, 51, 185]
(4, 6, 1, -1, 7):[51, 51, 368]
(5, 6, 1, -1, 7):[51, 51, 388]
(6, 5, 1, -1, 7):[57, 62, 165]
(7, 5, 1, -1, 7):[67, 213, 138]
(8, 4, 1, -1, 7):[72, 172, 131]
(9, 4, 1, -1, 7):[128, 125, 65]
(10, 3, 1, -1, 7):[94, 147, 80]
(11, 3, 1, -1, 7):[64, 411, 93]
(7, 9, -1, 1, 7):[51, 51, 2035]
(5, 10, -1, 1, 7):[51, 51, 1914]
(1, 11, -1, -1, 7):[51, 51, 540]
(0, 10, 1, -1, 7):[51, 659, 184]
(1, 10, 1, -1, 7):[51, 51, 2736]
(2, 9, 1, -1, 7):[51, 51, 2942]
(3, 9, 1, -1, 7):[51, 51, 5838]
(4, 8, 1, -1, 7):[51, 51, 3565]
(5, 8, 1, -1, 7):[51, 51, 11246]
(6, 7, 1, -1, 7):[51, 51, 5471]
(7, 7, 1, -1, 7):[52, 51, 4916]
(8, 6, 1, -1, 7):[71, 68, 2080]
(9, 6, 1, -1, 7):[56, 56, 2593]
(10, 6, 1, -1, 7):[56, 53, 3798]
(10, 5, 1, -1, 7):[67, 64, 1067]
(11, 5, 1, -1, 7):[84, 2010, 54]
(11, 8, -1, -1, 7):[51, 51, 745]
(10, 7, -1, -1, 7):[51, 27556, 51]
(9, 7, -1, -1, 7):[51, 9265, 51]
(9, 6, -1, -1, 7):[51, 51, 23276]
(8, 6, -1, -1, 7):[51, 85, 26108]
(7, 6, -1, -1, 7):[51, 51, 20898]
(6, 5, -1, -1, 7):[51, 51, 7898]
(5, 5, -1, -1, 7):[51, 51, 3950]
(5, 4, -1, -1, 7):[51, 51, 3661]
(4, 4, -1, -1, 7):[51, 51, 1762]
(3, 4, -1, -1, 7):[51, 51, 881]
(2, 3, -1, -1, 7):[51, 361, 64]
(1, 3, -1, -1, 7):[51, 51, 962]
(0, 3, -1, -1, 7):[51, 51, 1133]
(0, 2, -1, -1, 7):[51, 58, 1109]
(0, 2, 1, -1, 7):[51, 51, 257]
(1, 2, 1, -1, 7):[51, 51, 139]
(1, 1, 1, -1, 7):[51, 51, 108]
(2, 1, 1, -1, 7):[51, 51, 103]
(3, 1, 1, -1, 7):[51, 51, 119]
(4, 0, 1, -1, 7):[51, 52, 76]
(5, 0, 1, -1, 7):[51, 51, 95]
(6, 0, 1, 1, 7):[51, 51, 87]
(7, 0, 1, 1, 7):[51, 51, 84]
(8, 0, 1, 1, 7):[51, 51, 68]
(8, 1, 1, 1, 7):[51, 51, 60]
(9, 1, 1, 1, 7):[51, 56, 64]
(10, 1, 1, 1, 7):[53, 54, 74]
(10, 2, 1, 1, 7):[51, 51, 44]
(11, 2, 1, 1, 7):[60, 89, 68]
(8, 10, -1, 1, 7):[51, 51, 5683]
(5, 11, -1, -1, 7):[51, 16065, 52]
(4, 10, -1, -1, 7):[51, 11428, 76]
(3, 10, -1, -1, 7):[51, 6784, 51]
(2, 9, -1, -1, 7):[51, 51, 13689]
(1, 9, -1, -1, 7):[51, 51, 6310]
(0, 8, -1, -1, 7):[51, 51, 2103]
(0, 8, 1, -1, 7):[51, 51, 692]
(0, 7, 1, -1, 7):[51, 51, 1007]
(1, 7, 1, -1, 7):[51, 51, 436]
(2, 6, 1, -1, 7):[51, 51, 151]
(3, 6, 1, -1, 7):[51, 51, 225]
(3, 5, 1, -1, 7):[51, 51, 104]
(4, 5, 1, -1, 7):[51, 51, 208]
(5, 5, 1, -1, 7):[51, 51, 204]
(5, 4, 1, -1, 7):[51, 51, 91]
(6, 4, 1, -1, 7):[51, 51, 55]
(7, 3, 1, -1, 7):[51, 60, 52]
(8, 3, 1, -1, 7):[59, 78, 92]
(8, 2, 1, -1, 7):[53, 73, 51]
(9, 2, 1, -1, 7):[55, 123, 69]
(10, 1, 1, -1, 7):[77, 93, 65]
(11, 1, 1, -1, 7):[88, 60, 144]
(11, 0, 1, -1, 7):[91, 74, 104]
(2, 11, -1, 1, 7):[51, 51, 947]
(0, 11, -1, -1, 7):[51, 51, 1160]
(4, 9, 1, -1, 7):[10793, 51, 69]
(6, 8, 1, -1, 7):[55, 51, 14342]
(8, 7, 1, -1, 7):[51, 54, 4972]
(11, 6, 1, -1, 7):[54, 51, 10748]
(11, 6, 1, 0, 7):[51, 51, 5451]
(11, 6, -1, 1, 7):[51, 52, 9107]
(11, 7, -1, 1, 7):[51, 51, 16771]
(10, 7, -1, 1, 7):[51, 51, 4017]
(9, 8, -1, 1, 7):[51, 51, 2344]
(7, 4, 1, -1, 7):[54, 108, 90]
(9, 3, 1, -1, 7):[110, 106, 78]
(10, 2, 1, -1, 7):[64, 185, 57]
(11, 2, 1, -1, 7):[87, 65, 298]
(10, 9, -1, 1, 7):[51, 51, 9094]
(9, 10, -1, 1, 7):[51, 53, 11192]
(8, 11, -1, 1, 7):[51, 51, 8459]
(7, 11, -1, 1, 7):[51, 11730, 51]
(7, 11, -1, -1, 7):[51, 15935, 51]
(6, 11, -1, -1, 7):[51, 10896, 51]
(6, 10, -1, -1, 7):[51, 51, 9292]
(5, 10, -1, -1, 7):[51, 12329, 63]
(4, 9, -1, -1, 7):[51, 2238, 65]
(4, 8, -1, -1, 7):[51, 51, 4676]
(3, 8, -1, -1, 7):[51, 51, 6253]
(2, 7, -1, -1, 7):[51, 51, 4792]
(1, 6, -1, -1, 7):[51, 51, 3569]
